Id,SalePrice
1461,116732.1
1462,135992.84
1463,183951.12
1464,189415.0
1465,174215.36
1466,176617.11
1467,167593.81
1468,167881.6
1469,173840.11
1470,119557.34
1471,181797.61
1472,91770.516
1473,93260.34
1474,150871.52
1475,108786.086
1476,320292.0
1477,208143.72
1478,270215.56
1479,287684.47
1480,426495.25
1481,300756.2
1482,181078.83
1483,173584.66
1484,167476.7
1485,152846.17
1486,183676.08
1487,336752.38
1488,224117.47
1489,182843.12
1490,235123.03
1491,177989.11
1492,91809.3
1493,176531.58
1494,268299.2
1495,262071.77
1496,242265.77
1497,173040.2
1498,150963.92
1499,150963.92
1500,150963.92
1501,168681.94
1502,135072.44
1503,287097.1
1504,212098.66
1505,224674.1
1506,191286.42
1507,244836.03
1508,194951.36
1509,150914.55
1510,146008.23
1511,144033.7
1512,182505.16
1513,130152.305
1514,157507.94
1515,220937.4
1516,148815.33
1517,146308.89
1518,133462.5
1519,216331.88
1520,140380.7
1521,140115.06
1522,158279.5
1523,110951.51
1524,113531.984
1525,119041.16
1526,119784.46
1527,98527.23
1528,120840.63
1529,144306.77
1530,152617.06
1531,132688.84
1532,101010.945
1533,133667.83
1534,115255.0
1535,147198.88
1536,106092.88
1537,59136.83
1538,118222.61
1539,145596.92
1540,112617.64
1541,138810.84
1542,136634.92
1543,188300.67
1544,85081.41
1545,100216.55
1546,116868.89
1547,133005.58
1548,122072.14
1549,112470.59
1550,138426.55
1551,122793.73
1552,128892.99
1553,120830.38
1554,109019.05
1555,166916.06
1556,80919.836
1557,96422.875
1558,69879.44
1559,85432.82
1560,137123.53
1561,127468.984
1562,115256.43
1563,114796.36
1564,139272.17
1565,146706.83
1566,189685.8
1567,76009.984
1568,211234.89
1569,155543.34
1570,125212.414
1571,131463.16
1572,137944.22
1573,247615.8
1574,109491.57
1575,219549.25
1576,221615.66
1577,188902.86
1578,140936.45
1579,145993.47
1580,177057.11
1581,110780.33
1582,116802.26
1583,302696.47
1584,207665.28
1585,137323.36
1586,73881.19
1587,95740.86
1588,144992.64
1589,90558.04
1590,120930.79
1591,101531.61
1592,111220.07
1593,111903.65
1594,113551.805
1595,126494.375
1596,209855.25
1597,170592.38
1598,192785.23
1599,161377.45
1600,161686.17
1601,73062.086
1602,115554.914
1603,87053.16
